pairCount,WhichEye,plexonGoTime,Contrast,BlinkDetected
7.000000,0.000000,5064.552000,Inf,0.000000
7.000000,1.000000,5066.642000,Inf,0.000000
8.000000,0.000000,5068.748000,Inf,1.000000
8.000000,0.000000,5070.748000,Inf,0.000000
8.000000,1.000000,5072.857000,Inf,0.000000
9.000000,0.000000,5074.963000,Inf,0.000000
9.000000,1.000000,5077.060000,Inf,1.000000
9.000000,0.000000,5079.000000,Inf,0.000000
9.000000,1.000000,5081.108000,Inf,0.000000
10.000000,0.000000,5083.228000,Inf,0.000000
10.000000,1.000000,5085.326000,Inf,0.000000
1.000000,0.000000,5110.714000,Inf,1.000000
1.000000,0.000000,5112.327000,Inf,0.000000
1.000000,1.000000,5114.449000,Inf,0.000000
2.000000,0.000000,5116.514000,Inf,0.000000
2.000000,1.000000,5118.624000,Inf,0.000000
3.000000,0.000000,5120.733000,Inf,0.000000
3.000000,1.000000,5122.859000,Inf,0.000000
4.000000,0.000000,5124.964000,Inf,1.000000
4.000000,0.000000,5126.687000,Inf,0.000000
4.000000,1.000000,5128.776000,Inf,0.000000
5.000000,0.000000,5130.856000,Inf,0.000000
5.000000,1.000000,5132.998000,Inf,0.000000
6.000000,0.000000,5135.076000,Inf,1.000000
6.000000,0.000000,5136.873000,Inf,0.000000
6.000000,1.000000,5138.951000,Inf,0.000000
7.000000,0.000000,5141.045000,Inf,1.000000
7.000000,0.000000,5142.576000,Inf,0.000000
7.000000,1.000000,5144.701000,Inf,1.000000
7.000000,0.000000,5146.482000,Inf,0.000000
7.000000,1.000000,5148.576000,Inf,0.000000
8.000000,0.000000,5150.738000,Inf,1.000000
8.000000,0.000000,5152.435000,Inf,0.000000
8.000000,1.000000,5154.516000,Inf,0.000000
9.000000,0.000000,5156.560000,Inf,0.000000
9.000000,1.000000,5158.638000,Inf,0.000000
10.000000,0.000000,5160.716000,Inf,1.000000
10.000000,0.000000,5162.294000,Inf,0.000000
10.000000,1.000000,5164.356000,Inf,0.000000
